Dato/klokkeslett,NO1,NO2,NO3,NO4,NO5
2023-07-01 Kl. 00-01,0.96965,1.41938,0.32642,0.24480,0.96965
2023-07-01 Kl. 01-02,0.91639,1.34278,0.29899,0.23919,0.91639
2023-07-01 Kl. 02-03,0.90996,1.21115,0.29433,0.23546,0.90996
2023-07-01 Kl. 03-04,0.90749,1.13294,0.29126,0.23301,0.90749
2023-07-01 Kl. 04-05,0.88676,0.95360,0.28849,0.23079,0.88676
2023-07-01 Kl. 05-06,0.75996,0.75996,0.29404,0.23523,0.75996
2023-07-01 Kl. 06-07,0.76901,0.76901,0.30513,0.24398,0.76901
2023-07-01 Kl. 07-08,0.80433,0.80433,0.30746,0.24597,0.80433
2023-07-01 Kl. 08-09,0.94835,1.07808,0.32278,0.24515,0.94835
2023-07-01 Kl. 09-10,0.91829,0.93478,0.33226,0.24433,0.91829
2023-07-01 Kl. 10-11,0.66789,0.66789,0.33781,0.24538,0.66789
2023-07-01 Kl. 11-12,0.37064,0.37064,0.33854,0.24445,0.37064
2023-07-01 Kl. 12-13,0.25289,0.25289,0.24559,0.19647,0.25289
2023-07-01 Kl. 13-14,0.06669,0.06669,0.06464,0.05171,0.06669
2023-07-01 Kl. 14-15,0.00102,0.00102,0.00102,0.00082,0.00102
2023-07-01 Kl. 15-16,0.01445,0.01445,0.01445,0.01156,0.01445
2023-07-01 Kl. 16-17,0.18489,0.18489,0.18489,0.14791,0.18489
2023-07-01 Kl. 17-18,0.78725,0.78725,0.30775,0.24130,0.78725
2023-07-01 Kl. 18-19,0.96790,1.01109,0.30264,0.24153,0.96790
2023-07-01 Kl. 19-20,0.98191,1.06465,0.30220,0.24176,0.98191
2023-07-01 Kl. 20-21,0.97243,1.10653,0.29914,0.23931,0.97243
2023-07-01 Kl. 21-22,0.96541,1.14578,0.29389,0.23511,0.96541
2023-07-01 Kl. 22-23,0.97608,1.16723,0.27623,0.22098,0.97608
2023-07-01 Kl. 23-00,0.97359,1.13703,0.25653,0.20522,0.97359
2023-07-02 Kl. 00-01,0.35850,0.35850,0.24041,0.19233,0.35850
2023-07-02 Kl. 01-02,0.04633,0.04633,0.04633,0.03706,0.04633
2023-07-02 Kl. 02-03,0.00015,0.00015,0.00015,0.00012,0.00015
